Date,Company,Open,High,Low,Close,Volume
16/12/19,FB,195.270004,199.119995,194.809998,197.919998,14911500
17/12/19,FB,198.839996,199,196.130005,198.389999,10175700
18/12/19,FB,200.089996,204.300003,200.089996,202.5,23274400
19/12/19,FB,202.779999,206.300003,202.509995,206.059998,16514600
16/12/19,NKE,98.139999,99.339996,98.059998,98.809998,8211300
17/12/19,NKE,99.379997,100.169998,99.050003,99.650002,7050700
18/12/19,NKE,100.199997,100.790001,99.580002,100.57,7332000
19/12/19,NKE,100.5,101.269997,99.629997,101.150002,12214500
16/12/19,GOOG,1356.5,1364.680054,1352.670044,1361.170044,1397300
17/12/19,GOOG,1362.890015,1365,1351.322998,1355.119995,1854000
18/12/19,GOOG,1356.599976,1360.469971,1351,1352.619995,1522600
19/12/19,GOOG,1351.819946,1358.099976,1348.984985,1356.040039,1469900
16/12/19,NFLX,300.850006,305.709991,298.630005,304.209991,4658900
17/12/19,NFLX,307.359985,316.799988,306.600006,315.480011,10427100
18/12/19,NFLX,316.26001,325.359985,315.600006,320.799988,11207400
19/12/19,NFLX,324.5,332.829987,324.179993,332.220001,9822300
